date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Karnataka,Gulbarga,585301,87,195
01-03-2025,Karnataka,Mysore,571125,14,71
01-03-2025,Karnataka,Mysuru,571104,18,105
01-03-2025,Karnataka,Belagavi,591110,49,51
01-03-2025,Karnataka,Belgaum,591216,16,60
01-03-2025,Karnataka,Mysuru,571118,18,51
01-03-2025,Karnataka,Hassan,573117,32,38
01-03-2025,Karnataka,Bengaluru,560105,84,485
01-03-2025,Karnataka,Dharwad,580114,83,111
01-03-2025,Karnataka,Udupi,576227,14,99
01-03-2025,Karnataka,Hassan,573125,70,126
01-03-2025,Karnataka,Belgaum,591119,73,103
01-03-2025,Karnataka,Tumkur,572224,13,93
01-03-2025,Karnataka,Hassan,573128,18,103
01-03-2025,Karnataka,Belgaum,590001,56,238
01-03-2025,Karnataka,Hassan,573112,88,138
01-03-2025,Karnataka,Hassan,573135,35,123
01-03-2025,Karnataka,Bengaluru,560059,19,128
01-03-2025,Karnataka,Dakshina Kannada,575014,40,230
01-03-2025,Karnataka,Dharwad,581204,311,446
01-03-2025,Karnataka,Shimoga,577419,12,81
01-03-2025,Karnataka,Mandya,571812,15,165
01-03-2025,Karnataka,Udupi,576216,12,129
01-03-2025,Karnataka,Kolar,563139,40,234
01-03-2025,Karnataka,Bellary,583219,72,235
01-03-2025,Karnataka,Bangalore,560085,13,213
01-03-2025,Karnataka,Mandya,571433,28,211
01-03-2025,Karnataka,Udupi,576108,15,91
01-03-2025,Karnataka,Belagavi,591303,52,111
01-03-2025,Karnataka,Uttara Kannada,581363,12,36
01-03-2025,Karnataka,Uttara Kannada,581334,52,239
01-03-2025,Karnataka,Mandya,571404,22,134
01-03-2025,Karnataka,Ballari,583119,31,160
01-03-2025,Karnataka,Bengaluru,560004,33,270
01-03-2025,Karnataka,Davangere,577006,63,359
01-03-2025,Karnataka,Vijayapura,586214,198,263
01-03-2025,Karnataka,Davangere,577223,30,146
01-03-2025,Karnataka,Bellary,583101,44,402
01-03-2025,Karnataka,Mandya,571421,31,223
01-03-2025,Karnataka,Bengaluru,560090,49,424
01-03-2025,Karnataka,Bangalore,560091,32,268
01-03-2025,Karnataka,Chamrajanagar,571109,25,208
01-03-2025,Karnataka,Belagavi,591222,166,184
01-03-2025,Karnataka,Yadgir,585315,42,168
01-03-2025,Karnataka,Belgaum,591129,140,158
01-03-2025,Karnataka,Udupi,576282,16,35
01-03-2025,Karnataka,Udupi,576120,12,79
01-03-2025,Karnataka,Bengaluru,560034,28,190
01-03-2025,Karnataka,Chitradurga,577558,17,93
01-03-2025,Karnataka,Belgaum,591124,36,89
01-03-2025,Karnataka,Bagalkot,587202,172,123
01-03-2025,Karnataka,Belgaum,591246,42,34
01-03-2025,Karnataka,Hassan,573115,52,216
01-03-2025,Karnataka,Belagavi,591113,26,49
01-03-2025,Karnataka,Belgaum,591263,11,64
01-03-2025,Karnataka,Hassan,573215,14,88
01-03-2025,Karnataka,Dakshina Kannada,574279,14,72
01-03-2025,Karnataka,Belagavi,591238,13,28
01-03-2025,Karnataka,Davangere,577601,88,394
01-03-2025,Karnataka,Mysore,571105,24,414
01-03-2025,Karnataka,Kalaburagi,585311,23,88
01-03-2025,Karnataka,Bangalore,560040,11,148
01-03-2025,Karnataka,Chikkaballapur,563128,32,283
01-03-2025,Karnataka,Tumakuru,572215,15,44
01-03-2025,Karnataka,Kolar,563160,26,226
01-03-2025,Karnataka,Bengaluru,560068,199,1625
01-03-2025,Karnataka,Bengaluru,560018,40,219
01-03-2025,Karnataka,Hassan,573217,30,176
01-03-2025,Karnataka,Chitradurga,577524,15,125
01-03-2025,Karnataka,Tumkur,572135,12,81
01-03-2025,Karnataka,Bengaluru,560049,134,931
