date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Tamil Nadu,Tiruvannamalai,604502,11,221
01-03-2025,Tamil Nadu,Chennai,600005,52,819
01-03-2025,Tamil Nadu,Kancheepuram,600088,47,430
01-03-2025,Tamil Nadu,Tenkasi,627758,18,94
01-03-2025,Tamil Nadu,Salem,636501,32,494
01-03-2025,Tamil Nadu,Chennai,600106,36,469
01-03-2025,Tamil Nadu,Tiruppur,641602,85,900
01-03-2025,Tamil Nadu,Tenkasi,627756,26,224
01-03-2025,Tamil Nadu,Kallakurichi,606213,19,121
01-03-2025,Tamil Nadu,Ariyalur,621802,13,268
01-03-2025,Tamil Nadu,Tiruvannamalai,606701,17,203
01-03-2025,Tamil Nadu,Tirunelveli,627501,19,219
01-03-2025,Tamil Nadu,Virudhunagar,626112,10,121
01-03-2025,Tamil Nadu,Ramanathapuram,623521,15,374
01-03-2025,Tamil Nadu,Pudukkottai,622407,15,195
01-03-2025,Tamil Nadu,Karur,621311,15,296
01-03-2025,Tamil Nadu,Karur,639002,33,507
01-03-2025,Tamil Nadu,Namakkal,637212,17,196
01-03-2025,Tamil Nadu,Dindigul,624615,18,247
01-03-2025,Tamil Nadu,Erode,638451,16,223
01-03-2025,Tamil Nadu,Coimbatore,641109,32,380
01-03-2025,Tamil Nadu,Perambalur,621103,24,202
01-03-2025,Tamil Nadu,Thoothukkudi,628501,64,474
01-03-2025,Tamil Nadu,Ramanathapuram,623705,10,266
01-03-2025,Tamil Nadu,Krishnagiri,635104,56,564
01-03-2025,Tamil Nadu,Thoothukkudi,628002,104,1347
01-03-2025,Tamil Nadu,Theni,625513,47,667
01-03-2025,Tamil Nadu,Tirunelveli,627011,57,530
01-03-2025,Tamil Nadu,Tiruchirappalli,620007,32,338
01-03-2025,Tamil Nadu,Karur,639005,17,305
01-03-2025,Tamil Nadu,Kanyakumari,629171,14,64
01-03-2025,Tamil Nadu,Tiruvallur,631209,31,387
01-03-2025,Tamil Nadu,Karur,639119,13,194
01-03-2025,Tamil Nadu,Coimbatore,641107,46,558
01-03-2025,Tamil Nadu,Vellore,632202,20,313
01-03-2025,Tamil Nadu,Erode,638002,37,587
01-03-2025,Tamil Nadu,Ariyalur,621701,75,888
01-03-2025,Tamil Nadu,Erode,638459,37,303
01-03-2025,Tamil Nadu,Krishnagiri,635123,12,138
01-03-2025,Tamil Nadu,Theni,625531,116,1220
01-03-2025,Tamil Nadu,Dindigul,624616,10,350
01-03-2025,Tamil Nadu,Vellore,632503,43,530
01-03-2025,Tamil Nadu,Tirunelveli,627401,16,279
01-03-2025,Tamil Nadu,Cuddalore,607308,11,133
01-03-2025,Tamil Nadu,Tirunelveli,627357,16,322
01-03-2025,Tamil Nadu,Tiruvallur,600067,62,485
01-03-2025,Tamil Nadu,Chennai,600041,58,900
01-03-2025,Tamil Nadu,Kanniyakumari,629402,18,69
01-03-2025,Tamil Nadu,Madurai,625503,19,337
01-03-2025,Tamil Nadu,Salem,636453,12,238
01-03-2025,Tamil Nadu,Tirunelveli,627812,10,118
01-03-2025,Tamil Nadu,Tirunelveli,627657,25,318
01-03-2025,Tamil Nadu,Thanjavur,614017,10,207
01-03-2025,Tamil Nadu,Tiruvannamalai,606804,10,340
01-03-2025,Tamil Nadu,Chennai,600116,17,175
01-03-2025,Tamil Nadu,Kanyakumari,629252,57,92
01-03-2025,Tamil Nadu,Ariyalur,621719,13,283
01-03-2025,Tamil Nadu,Pudukkottai,622401,12,162
01-03-2025,Tamil Nadu,Villupuram,606201,21,206
01-03-2025,Tamil Nadu,Tirunelveli,627758,26,208
01-03-2025,Tamil Nadu,The Nilgiris,643004,11,141
01-03-2025,Tamil Nadu,Tiruvannamalai,606601,59,722
01-03-2025,Tamil Nadu,Tirunelveli,627803,18,215
01-03-2025,Tamil Nadu,Tiruchirappalli,620006,27,367
01-03-2025,Tamil Nadu,Coimbatore,641035,68,772
