state,district,time,metric_type,value,source
Tamil Nadu,Ariyalur,2025-03,aadhaar_biometric_update,22102,UIDAI
Tamil Nadu,Ariyalur,2025-04,aadhaar_biometric_update,11652,UIDAI
Tamil Nadu,Ariyalur,2025-05,aadhaar_biometric_update,13123,UIDAI
Tamil Nadu,Ariyalur,2025-06,aadhaar_biometric_update,23326,UIDAI
Tamil Nadu,Ariyalur,2025-07,aadhaar_biometric_update,9114,UIDAI
Tamil Nadu,Ariyalur,2025-08,aadhaar_biometric_update,7095,UIDAI
Tamil Nadu,Ariyalur,2025-09,aadhaar_biometric_update,7518,UIDAI
Tamil Nadu,Ariyalur,2025-10,aadhaar_biometric_update,11196,UIDAI
Tamil Nadu,Ariyalur,2025-11,aadhaar_biometric_update,7249,UIDAI
Tamil Nadu,Ariyalur,2025-12,aadhaar_biometric_update,8900,UIDAI
Tamil Nadu,Ariyalur,2026-01,aadhaar_biometric_update,632,UIDAI
Tamil Nadu,Chengalpattu,2025-03,aadhaar_biometric_update,617,UIDAI
Tamil Nadu,Chengalpattu,2025-04,aadhaar_biometric_update,519,UIDAI
Tamil Nadu,Chengalpattu,2025-05,aadhaar_biometric_update,1526,UIDAI
Tamil Nadu,Chengalpattu,2025-06,aadhaar_biometric_update,2909,UIDAI
Tamil Nadu,Chengalpattu,2025-07,aadhaar_biometric_update,2845,UIDAI
Tamil Nadu,Chengalpattu,2025-08,aadhaar_biometric_update,1662,UIDAI
Tamil Nadu,Chengalpattu,2025-09,aadhaar_biometric_update,2566,UIDAI
Tamil Nadu,Chengalpattu,2025-10,aadhaar_biometric_update,3156,UIDAI
Tamil Nadu,Chengalpattu,2025-11,aadhaar_biometric_update,3537,UIDAI
Tamil Nadu,Chengalpattu,2025-12,aadhaar_biometric_update,3548,UIDAI
Tamil Nadu,Chengalpattu,2026-01,aadhaar_biometric_update,217,UIDAI
Tamil Nadu,Chennai,2025-03,aadhaar_biometric_update,41050,UIDAI
Tamil Nadu,Chennai,2025-04,aadhaar_biometric_update,30673,UIDAI
Tamil Nadu,Chennai,2025-05,aadhaar_biometric_update,38172,UIDAI
Tamil Nadu,Chennai,2025-06,aadhaar_biometric_update,27858,UIDAI
Tamil Nadu,Chennai,2025-07,aadhaar_biometric_update,30499,UIDAI
Tamil Nadu,Chennai,2025-08,aadhaar_biometric_update,24477,UIDAI
Tamil Nadu,Chennai,2025-09,aadhaar_biometric_update,39945,UIDAI
Tamil Nadu,Chennai,2025-10,aadhaar_biometric_update,45378,UIDAI
Tamil Nadu,Chennai,2025-11,aadhaar_biometric_update,31411,UIDAI
Tamil Nadu,Chennai,2025-12,aadhaar_biometric_update,39705,UIDAI
Tamil Nadu,Chennai,2026-01,aadhaar_biometric_update,2796,UIDAI
Tamil Nadu,Coimbatore,2025-03,aadhaar_biometric_update,34502,UIDAI
Tamil Nadu,Coimbatore,2025-04,aadhaar_biometric_update,29794,UIDAI
Tamil Nadu,Coimbatore,2025-05,aadhaar_biometric_update,46259,UIDAI
Tamil Nadu,Coimbatore,2025-06,aadhaar_biometric_update,46046,UIDAI
Tamil Nadu,Coimbatore,2025-07,aadhaar_biometric_update,32378,UIDAI
Tamil Nadu,Coimbatore,2025-08,aadhaar_biometric_update,25811,UIDAI
Tamil Nadu,Coimbatore,2025-09,aadhaar_biometric_update,32944,UIDAI
Tamil Nadu,Coimbatore,2025-10,aadhaar_biometric_update,28694,UIDAI
Tamil Nadu,Coimbatore,2025-11,aadhaar_biometric_update,20240,UIDAI
Tamil Nadu,Coimbatore,2025-12,aadhaar_biometric_update,33924,UIDAI
Tamil Nadu,Coimbatore,2026-01,aadhaar_biometric_update,3004,UIDAI
Tamil Nadu,Cuddalore,2025-03,aadhaar_biometric_update,22556,UIDAI
Tamil Nadu,Cuddalore,2025-04,aadhaar_biometric_update,20774,UIDAI
Tamil Nadu,Cuddalore,2025-05,aadhaar_biometric_update,29182,UIDAI
Tamil Nadu,Cuddalore,2025-06,aadhaar_biometric_update,34318,UIDAI
Tamil Nadu,Cuddalore,2025-07,aadhaar_biometric_update,17331,UIDAI
Tamil Nadu,Cuddalore,2025-08,aadhaar_biometric_update,13675,UIDAI
Tamil Nadu,Cuddalore,2025-09,aadhaar_biometric_update,20405,UIDAI
Tamil Nadu,Cuddalore,2025-10,aadhaar_biometric_update,32080,UIDAI
Tamil Nadu,Cuddalore,2025-11,aadhaar_biometric_update,21495,UIDAI
Tamil Nadu,Cuddalore,2025-12,aadhaar_biometric_update,34659,UIDAI
Tamil Nadu,Cuddalore,2026-01,aadhaar_biometric_update,2631,UIDAI
Tamil Nadu,Dharmapuri,2025-03,aadhaar_biometric_update,21745,UIDAI
Tamil Nadu,Dharmapuri,2025-04,aadhaar_biometric_update,13198,UIDAI
Tamil Nadu,Dharmapuri,2025-05,aadhaar_biometric_update,16592,UIDAI
Tamil Nadu,Dharmapuri,2025-06,aadhaar_biometric_update,16753,UIDAI
Tamil Nadu,Dharmapuri,2025-07,aadhaar_biometric_update,9748,UIDAI
Tamil Nadu,Dharmapuri,2025-08,aadhaar_biometric_update,9448,UIDAI
Tamil Nadu,Dharmapuri,2025-09,aadhaar_biometric_update,13308,UIDAI
Tamil Nadu,Dharmapuri,2025-10,aadhaar_biometric_update,21349,UIDAI
Tamil Nadu,Dharmapuri,2025-11,aadhaar_biometric_update,11080,UIDAI
Tamil Nadu,Dharmapuri,2025-12,aadhaar_biometric_update,23601,UIDAI
Tamil Nadu,Dharmapuri,2026-01,aadhaar_biometric_update,1747,UIDAI
Tamil Nadu,Dindigul,2025-03,aadhaar_biometric_update,35473,UIDAI
Tamil Nadu,Dindigul,2025-04,aadhaar_biometric_update,25522,UIDAI
Tamil Nadu,Dindigul,2025-05,aadhaar_biometric_update,33883,UIDAI
Tamil Nadu,Dindigul,2025-06,aadhaar_biometric_update,40258,UIDAI
Tamil Nadu,Dindigul,2025-07,aadhaar_biometric_update,23045,UIDAI
Tamil Nadu,Dindigul,2025-08,aadhaar_biometric_update,21627,UIDAI
Tamil Nadu,Dindigul,2025-09,aadhaar_biometric_update,25778,UIDAI
Tamil Nadu,Dindigul,2025-10,aadhaar_biometric_update,27235,UIDAI
Tamil Nadu,Dindigul,2025-11,aadhaar_biometric_update,17293,UIDAI
Tamil Nadu,Dindigul,2025-12,aadhaar_biometric_update,27029,UIDAI
Tamil Nadu,Dindigul,2026-01,aadhaar_biometric_update,2013,UIDAI
Tamil Nadu,Erode,2025-03,aadhaar_biometric_update,22076,UIDAI
Tamil Nadu,Erode,2025-04,aadhaar_biometric_update,16579,UIDAI
Tamil Nadu,Erode,2025-05,aadhaar_biometric_update,25321,UIDAI
Tamil Nadu,Erode,2025-06,aadhaar_biometric_update,25980,UIDAI
Tamil Nadu,Erode,2025-07,aadhaar_biometric_update,17282,UIDAI
Tamil Nadu,Erode,2025-08,aadhaar_biometric_update,13723,UIDAI
Tamil Nadu,Erode,2025-09,aadhaar_biometric_update,21882,UIDAI
Tamil Nadu,Erode,2025-10,aadhaar_biometric_update,36513,UIDAI
Tamil Nadu,Erode,2025-11,aadhaar_biometric_update,19498,UIDAI
Tamil Nadu,Erode,2025-12,aadhaar_biometric_update,23213,UIDAI
Tamil Nadu,Erode,2026-01,aadhaar_biometric_update,2162,UIDAI
Tamil Nadu,Kallakurichi,2025-03,aadhaar_biometric_update,959,UIDAI
Tamil Nadu,Kallakurichi,2025-04,aadhaar_biometric_update,376,UIDAI
Tamil Nadu,Kallakurichi,2025-05,aadhaar_biometric_update,1747,UIDAI
Tamil Nadu,Kallakurichi,2025-06,aadhaar_biometric_update,3183,UIDAI
Tamil Nadu,Kallakurichi,2025-07,aadhaar_biometric_update,2230,UIDAI
Tamil Nadu,Kallakurichi,2025-08,aadhaar_biometric_update,1142,UIDAI
Tamil Nadu,Kallakurichi,2025-09,aadhaar_biometric_update,1763,UIDAI
Tamil Nadu,Kallakurichi,2025-10,aadhaar_biometric_update,1873,UIDAI
Tamil Nadu,Kallakurichi,2025-11,aadhaar_biometric_update,1547,UIDAI
Tamil Nadu,Kallakurichi,2025-12,aadhaar_biometric_update,1969,UIDAI
