state,district,time,metric_type,value,source
Karnataka,Bagalkot,2025-03,aadhaar_demographic_update,15856,UIDAI
Karnataka,Bagalkot,2025-04,aadhaar_demographic_update,2520,UIDAI
Karnataka,Bagalkot,2025-05,aadhaar_demographic_update,1850,UIDAI
Karnataka,Bagalkot,2025-06,aadhaar_demographic_update,2648,UIDAI
Karnataka,Bagalkot,2025-07,aadhaar_demographic_update,1081,UIDAI
Karnataka,Bagalkot,2025-09,aadhaar_demographic_update,7423,UIDAI
Karnataka,Bagalkot,2025-10,aadhaar_demographic_update,6546,UIDAI
Karnataka,Bagalkot,2025-11,aadhaar_demographic_update,7986,UIDAI
Karnataka,Bagalkot,2025-12,aadhaar_demographic_update,10582,UIDAI
Karnataka,Bagalkot,2026-01,aadhaar_demographic_update,1138,UIDAI
Karnataka,Ballari,2025-03,aadhaar_demographic_update,9565,UIDAI
Karnataka,Ballari,2025-04,aadhaar_demographic_update,1143,UIDAI
Karnataka,Ballari,2025-05,aadhaar_demographic_update,2342,UIDAI
Karnataka,Ballari,2025-06,aadhaar_demographic_update,3748,UIDAI
Karnataka,Ballari,2025-07,aadhaar_demographic_update,534,UIDAI
Karnataka,Ballari,2025-09,aadhaar_demographic_update,6769,UIDAI
Karnataka,Ballari,2025-10,aadhaar_demographic_update,5883,UIDAI
Karnataka,Ballari,2025-11,aadhaar_demographic_update,8257,UIDAI
Karnataka,Ballari,2025-12,aadhaar_demographic_update,11601,UIDAI
Karnataka,Ballari,2026-01,aadhaar_demographic_update,929,UIDAI
Karnataka,Belagavi,2025-03,aadhaar_demographic_update,12801,UIDAI
Karnataka,Belagavi,2025-04,aadhaar_demographic_update,1718,UIDAI
Karnataka,Belagavi,2025-05,aadhaar_demographic_update,139,UIDAI
Karnataka,Belagavi,2025-06,aadhaar_demographic_update,533,UIDAI
Karnataka,Belagavi,2025-09,aadhaar_demographic_update,5991,UIDAI
Karnataka,Belagavi,2025-10,aadhaar_demographic_update,6021,UIDAI
Karnataka,Belagavi,2025-11,aadhaar_demographic_update,9936,UIDAI
Karnataka,Belagavi,2025-12,aadhaar_demographic_update,12575,UIDAI
Karnataka,Belagavi,2026-01,aadhaar_demographic_update,1109,UIDAI
Karnataka,Belgaum,2025-03,aadhaar_demographic_update,14627,UIDAI
Karnataka,Belgaum,2025-09,aadhaar_demographic_update,9498,UIDAI
Karnataka,Belgaum,2025-10,aadhaar_demographic_update,8845,UIDAI
Karnataka,Belgaum,2025-11,aadhaar_demographic_update,11727,UIDAI
Karnataka,Belgaum,2025-12,aadhaar_demographic_update,16109,UIDAI
Karnataka,Belgaum,2026-01,aadhaar_demographic_update,1478,UIDAI
Karnataka,Bengaluru,2025-03,aadhaar_demographic_update,53029,UIDAI
