state,district,time,metric_type,value,source
Tamil Nadu,Ariyalur,2025-03,aadhaar_demographic_update,8706,UIDAI
Tamil Nadu,Ariyalur,2025-09,aadhaar_demographic_update,4317,UIDAI
Tamil Nadu,Ariyalur,2025-10,aadhaar_demographic_update,2453,UIDAI
Tamil Nadu,Ariyalur,2025-11,aadhaar_demographic_update,5927,UIDAI
Tamil Nadu,Ariyalur,2025-12,aadhaar_demographic_update,5000,UIDAI
Tamil Nadu,Ariyalur,2026-01,aadhaar_demographic_update,349,UIDAI
Tamil Nadu,Chengalpattu,2025-03,aadhaar_demographic_update,3815,UIDAI
Tamil Nadu,Chengalpattu,2025-09,aadhaar_demographic_update,3808,UIDAI
Tamil Nadu,Chengalpattu,2025-10,aadhaar_demographic_update,3181,UIDAI
Tamil Nadu,Chengalpattu,2025-11,aadhaar_demographic_update,9349,UIDAI
Tamil Nadu,Chengalpattu,2025-12,aadhaar_demographic_update,7855,UIDAI
Tamil Nadu,Chengalpattu,2026-01,aadhaar_demographic_update,655,UIDAI
Tamil Nadu,Chennai,2025-03,aadhaar_demographic_update,35376,UIDAI
Tamil Nadu,Chennai,2025-04,aadhaar_demographic_update,2775,UIDAI
Tamil Nadu,Chennai,2025-06,aadhaar_demographic_update,1566,UIDAI
Tamil Nadu,Chennai,2025-09,aadhaar_demographic_update,28272,UIDAI
Tamil Nadu,Chennai,2025-10,aadhaar_demographic_update,17012,UIDAI
Tamil Nadu,Chennai,2025-11,aadhaar_demographic_update,45408,UIDAI
Tamil Nadu,Chennai,2025-12,aadhaar_demographic_update,38109,UIDAI
Tamil Nadu,Chennai,2026-01,aadhaar_demographic_update,2796,UIDAI
Tamil Nadu,Coimbatore,2025-03,aadhaar_demographic_update,31416,UIDAI
Tamil Nadu,Coimbatore,2025-04,aadhaar_demographic_update,4174,UIDAI
Tamil Nadu,Coimbatore,2025-05,aadhaar_demographic_update,1658,UIDAI
Tamil Nadu,Coimbatore,2025-06,aadhaar_demographic_update,926,UIDAI
Tamil Nadu,Coimbatore,2025-09,aadhaar_demographic_update,21004,UIDAI
Tamil Nadu,Coimbatore,2025-10,aadhaar_demographic_update,14303,UIDAI
Tamil Nadu,Coimbatore,2025-11,aadhaar_demographic_update,34051,UIDAI
Tamil Nadu,Coimbatore,2025-12,aadhaar_demographic_update,30836,UIDAI
Tamil Nadu,Coimbatore,2026-01,aadhaar_demographic_update,2081,UIDAI
Tamil Nadu,Cuddalore,2025-03,aadhaar_demographic_update,24748,UIDAI
Tamil Nadu,Cuddalore,2025-09,aadhaar_demographic_update,16273,UIDAI
Tamil Nadu,Cuddalore,2025-10,aadhaar_demographic_update,8889,UIDAI
Tamil Nadu,Cuddalore,2025-11,aadhaar_demographic_update,21705,UIDAI
Tamil Nadu,Cuddalore,2025-12,aadhaar_demographic_update,21405,UIDAI
Tamil Nadu,Cuddalore,2026-01,aadhaar_demographic_update,1204,UIDAI
Tamil Nadu,Dharmapuri,2025-03,aadhaar_demographic_update,13087,UIDAI
Tamil Nadu,Dharmapuri,2025-04,aadhaar_demographic_update,500,UIDAI
Tamil Nadu,Dharmapuri,2025-09,aadhaar_demographic_update,8189,UIDAI
Tamil Nadu,Dharmapuri,2025-10,aadhaar_demographic_update,5464,UIDAI
