state,district,time,metric_type,value,source
India,India,2011,population,1210854977.0,Census 2011 PCA
India,India,2011,population,20311234.0,Census 2011 PCA
India,India,2011,population,21755197.0,Census 2011 PCA
India,India,2011,population,23056268.0,Census 2011 PCA
India,India,2011,population,23974041.0,Census 2011 PCA
India,India,2011,population,23710038.0,Census 2011 PCA
India,India,2011,population,26054230.0,Census 2011 PCA
India,India,2011,population,25654245.0,Census 2011 PCA
India,India,2011,population,24826640.0,Census 2011 PCA
India,India,2011,population,26968373.0,Census 2011 PCA
India,India,2011,population,23424638.0,Census 2011 PCA
India,India,2011,population,30552107.0,Census 2011 PCA
India,India,2011,population,24740946.0,Census 2011 PCA
India,India,2011,population,27877307.0,Census 2011 PCA
India,India,2011,population,24280683.0,Census 2011 PCA
India,India,2011,population,25258169.0,Census 2011 PCA
India,India,2011,population,25899454.0,Census 2011 PCA
India,India,2011,population,24592293.0,Census 2011 PCA
India,India,2011,population,21217467.0,Census 2011 PCA
India,India,2011,population,27958147.0,Census 2011 PCA
India,India,2011,population,20859088.0,Census 2011 PCA
India,India,2011,population,28882735.0,Census 2011 PCA
India,India,2011,population,19978972.0,Census 2011 PCA
India,India,2011,population,23528225.0,Census 2011 PCA
India,India,2011,population,19154055.0,Census 2011 PCA
India,India,2011,population,19880235.0,Census 2011 PCA
India,India,2011,population,27768078.0,Census 2011 PCA
India,India,2011,population,20076997.0,Census 2011 PCA
India,India,2011,population,16709350.0,Census 2011 PCA
India,India,2011,population,22127016.0,Census 2011 PCA
India,India,2011,population,14732524.0,Census 2011 PCA
India,India,2011,population,30399029.0,Census 2011 PCA
India,India,2011,population,13823245.0,Census 2011 PCA
India,India,2011,population,17613544.0,Census 2011 PCA
India,India,2011,population,12764541.0,Census 2011 PCA
India,India,2011,population,13994592.0,Census 2011 PCA
India,India,2011,population,28422631.0,Census 2011 PCA
India,India,2011,population,15827717.0,Census 2011 PCA
India,India,2011,population,11692231.0,Census 2011 PCA
India,India,2011,population,17471758.0,Census 2011 PCA
India,India,2011,population,11726347.0,Census 2011 PCA
India,India,2011,population,28528992.0,Census 2011 PCA
India,India,2011,population,11567894.0,Census 2011 PCA
India,India,2011,population,13380642.0,Census 2011 PCA
India,India,2011,population,9334352.0,Census 2011 PCA
India,India,2011,population,9626232.0,Census 2011 PCA
India,India,2011,population,23872961.0,Census 2011 PCA
India,India,2011,population,10992678.0,Census 2011 PCA
India,India,2011,population,7951297.0,Census 2011 PCA
India,India,2011,population,11649592.0,Census 2011 PCA
India,India,2011,population,7851799.0,Census 2011 PCA
India,India,2011,population,21462422.0,Census 2011 PCA
India,India,2011,population,7885966.0,Census 2011 PCA
India,India,2011,population,7735164.0,Census 2011 PCA
India,India,2011,population,5590790.0,Census 2011 PCA
India,India,2011,population,6394912.0,Census 2011 PCA
India,India,2011,population,15607546.0,Census 2011 PCA
India,India,2011,population,7071837.0,Census 2011 PCA
India,India,2011,population,4599026.0,Census 2011 PCA
India,India,2011,population,6718934.0,Census 2011 PCA
