state,district,time,metric_type,value,source
Tamil Nadu,Ariyalur,2025-03,aadhaar_demographic_update,8706.0,UIDAI
Tamil Nadu,Ariyalur,2025-09,aadhaar_demographic_update,4317.0,UIDAI
Tamil Nadu,Ariyalur,2025-10,aadhaar_demographic_update,2453.0,UIDAI
Tamil Nadu,Ariyalur,2025-11,aadhaar_demographic_update,5927.0,UIDAI
Tamil Nadu,Ariyalur,2025-12,aadhaar_demographic_update,5000.0,UIDAI
Tamil Nadu,Ariyalur,2026-01,aadhaar_demographic_update,349.0,UIDAI
Tamil Nadu,Chengalpattu,2025-03,aadhaar_demographic_update,3815.0,UIDAI
Tamil Nadu,Chengalpattu,2025-09,aadhaar_demographic_update,3808.0,UIDAI
Tamil Nadu,Chengalpattu,2025-10,aadhaar_demographic_update,3181.0,UIDAI
Tamil Nadu,Chengalpattu,2025-11,aadhaar_demographic_update,9349.0,UIDAI
Tamil Nadu,Chengalpattu,2025-12,aadhaar_demographic_update,7855.0,UIDAI
Tamil Nadu,Chengalpattu,2026-01,aadhaar_demographic_update,655.0,UIDAI
Tamil Nadu,Chennai,2025-03,aadhaar_demographic_update,35376.0,UIDAI
Tamil Nadu,Chennai,2025-04,aadhaar_demographic_update,2775.0,UIDAI
Tamil Nadu,Chennai,2025-06,aadhaar_demographic_update,1566.0,UIDAI
Tamil Nadu,Chennai,2025-09,aadhaar_demographic_update,28272.0,UIDAI
Tamil Nadu,Chennai,2025-10,aadhaar_demographic_update,17012.0,UIDAI
Tamil Nadu,Chennai,2025-11,aadhaar_demographic_update,45408.0,UIDAI
Tamil Nadu,Chennai,2025-12,aadhaar_demographic_update,38109.0,UIDAI
Tamil Nadu,Chennai,2026-01,aadhaar_demographic_update,2796.0,UIDAI
Tamil Nadu,Coimbatore,2025-03,aadhaar_demographic_update,31416.0,UIDAI
Tamil Nadu,Coimbatore,2025-04,aadhaar_demographic_update,4174.0,UIDAI
Tamil Nadu,Coimbatore,2025-05,aadhaar_demographic_update,1658.0,UIDAI
Tamil Nadu,Coimbatore,2025-06,aadhaar_demographic_update,926.0,UIDAI
Tamil Nadu,Coimbatore,2025-09,aadhaar_demographic_update,21004.0,UIDAI
Tamil Nadu,Coimbatore,2025-10,aadhaar_demographic_update,14303.0,UIDAI
Tamil Nadu,Coimbatore,2025-11,aadhaar_demographic_update,34051.0,UIDAI
Tamil Nadu,Coimbatore,2025-12,aadhaar_demographic_update,30836.0,UIDAI
Tamil Nadu,Coimbatore,2026-01,aadhaar_demographic_update,2081.0,UIDAI
Tamil Nadu,Cuddalore,2025-03,aadhaar_demographic_update,24748.0,UIDAI
Tamil Nadu,Cuddalore,2025-09,aadhaar_demographic_update,16273.0,UIDAI
Tamil Nadu,Cuddalore,2025-10,aadhaar_demographic_update,8889.0,UIDAI
Tamil Nadu,Cuddalore,2025-11,aadhaar_demographic_update,21705.0,UIDAI
Tamil Nadu,Cuddalore,2025-12,aadhaar_demographic_update,21405.0,UIDAI
Tamil Nadu,Cuddalore,2026-01,aadhaar_demographic_update,1204.0,UIDAI
Tamil Nadu,Dharmapuri,2025-03,aadhaar_demographic_update,13087.0,UIDAI
Tamil Nadu,Dharmapuri,2025-04,aadhaar_demographic_update,500.0,UIDAI
Tamil Nadu,Dharmapuri,2025-09,aadhaar_demographic_update,8189.0,UIDAI
Tamil Nadu,Dharmapuri,2025-10,aadhaar_demographic_update,5464.0,UIDAI
Tamil Nadu,Dharmapuri,2025-11,aadhaar_demographic_update,11808.0,UIDAI
Tamil Nadu,Dharmapuri,2025-12,aadhaar_demographic_update,10067.0,UIDAI
Tamil Nadu,Dharmapuri,2026-01,aadhaar_demographic_update,651.0,UIDAI
Tamil Nadu,Dindigul,2025-03,aadhaar_demographic_update,15974.0,UIDAI
Tamil Nadu,Dindigul,2025-09,aadhaar_demographic_update,11654.0,UIDAI
Tamil Nadu,Dindigul,2025-10,aadhaar_demographic_update,6742.0,UIDAI
Tamil Nadu,Dindigul,2025-11,aadhaar_demographic_update,15991.0,UIDAI
Tamil Nadu,Dindigul,2025-12,aadhaar_demographic_update,14227.0,UIDAI
Tamil Nadu,Dindigul,2026-01,aadhaar_demographic_update,962.0,UIDAI
Tamil Nadu,Erode,2025-03,aadhaar_demographic_update,18316.0,UIDAI
Tamil Nadu,Erode,2025-04,aadhaar_demographic_update,2344.0,UIDAI
Tamil Nadu,Erode,2025-07,aadhaar_demographic_update,980.0,UIDAI
Tamil Nadu,Erode,2025-09,aadhaar_demographic_update,12714.0,UIDAI
Tamil Nadu,Erode,2025-10,aadhaar_demographic_update,8565.0,UIDAI
Tamil Nadu,Erode,2025-11,aadhaar_demographic_update,19283.0,UIDAI
Tamil Nadu,Erode,2025-12,aadhaar_demographic_update,17109.0,UIDAI
