state,district,sources
Karnataka,Bagalkot,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Ballari,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Belagavi,aadhaar_demographic_ka.csv
Karnataka,Belgaum,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Bengaluru,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Bengaluru Rural,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Bengaluru South,aadhaar_demographic_ka.csv
Karnataka,Bidar,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Bijapur,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Bijapur(KAR),aadhaar_demographic_ka.csv
Karnataka,Chamarajanagar,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Chamrajanagar,aadhaar_demographic_ka.csv
Karnataka,Chamrajnagar,aadhaar_demographic_ka.csv
Karnataka,Chickmagalur,aadhaar_demographic_ka.csv
Karnataka,Chikkaballapur,aadhaar_demographic_ka.csv
Karnataka,Chikkamagaluru,aadhaar_demographic_ka.csv
Karnataka,Chikmagalur,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Chitradurga,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Dakshina Kannada,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Davanagere,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Davangere,aadhaar_demographic_ka.csv
Karnataka,Dharwad,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Gadag,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Hasan,aadhaar_demographic_ka.csv
Karnataka,Hassan,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Haveri,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Kalaburagi,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Kodagu,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Kolar,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Koppal,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Mandya,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Mysuru,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
Karnataka,Raichur,"aadhaar_demographic_ka.csv, census_migration_ka.csv"
